,year_2015,age_gap_0.763157894736842,age_gap_0.6842105263157894,Prev. Match_W,Opponent_Kubrat Pulev,Interviewee_Kubrat Pulev,Interviewee_Grigor Dimitrov,Confidence_4,Confidence_2,Class
0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,1,0,1
2,0,0,0,0,0,0,0,1,0,1
3,0,0,0,0,0,0,0,1,0,0
4,0,0,0,0,0,0,0,1,0,1
5,0,0,0,0,1,0,0,1,0,0
6,0,0,1,0,0,0,0,0,0,0
7,0,0,0,0,1,0,0,0,0,0
8,0,0,0,0,1,0,0,0,0,0
9,0,0,1,0,1,0,0,0,0,0
10,0,1,0,1,0,1,0,1,0,1
11,0,0,0,0,0,1,0,1,0,1
12,0,0,0,0,0,1,0,1,0,1
13,0,0,0,0,0,1,0,1,0,1
14,1,0,0,0,0,1,0,1,0,1
15,0,0,0,0,0,1,0,1,0,1
16,0,0,0,0,0,1,0,0,0,0
17,0,0,0,0,0,0,0,0,0,1
18,0,0,0,0,0,0,0,1,0,1
19,0,0,0,0,0,0,0,0,0,0
20,0,1,0,0,1,0,0,1,0,1
21,0,0,0,0,0,0,0,0,1,0
22,0,0,0,0,0,0,0,0,0,1
23,0,0,0,0,0,0,0,0,0,1
24,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,1,0,0
26,1,0,0,1,0,0,0,1,0,1
27,0,0,0,0,0,0,0,0,1,0
28,0,0,0,1,0,0,0,0,1,0
29,0,0,0,0,0,0,0,0,0,0
30,1,0,0,0,0,0,0,1,0,1
31,0,0,0,0,0,0,1,0,0,1
32,1,0,0,1,0,0,1,0,0,1
33,0,0,0,0,0,0,1,0,0,1
34,1,0,0,1,0,0,1,0,0,1
35,0,0,0,0,0,0,1,0,0,1
36,0,0,0,0,0,0,1,0,1,0
37,0,0,0,0,0,0,1,0,0,0
38,0,0,0,0,0,0,1,0,0,1
39,0,0,0,0,0,0,1,1,0,1
40,0,0,0,1,0,0,0,0,0,1
41,0,0,1,0,0,0,0,1,0,0
42,0,0,0,0,0,0,0,0,0,0
43,0,0,0,1,0,0,0,0,0,1
44,0,1,0,1,0,0,0,0,0,1
45,0,0,0,0,0,0,0,0,1,0
46,0,0,0,1,0,0,0,0,0,1
47,0,0,0,1,0,0,0,0,0,1
48,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,1,0,0
